"e.g. domain.com/blog/identifier","VD. domain.com/blog/identifier"
"Please use only letters (a-z or A-Z), numbers (0-9) or symbols '-' and '_' in this field","Vui lòng sửa dụng các chữ cái (a-z hoặc A-Z), số (0-9) hoặc biểu tượng '-' và '_' trong trường này"
"Position","Vị trí"
"Post does not exist","Bài viết không tồn tại"
"Post Identifier already exist.","Chứng thực bài viết không tồn tại"
"Post Identifier cannot consist only of numbers.","Chứng thực bài viết không thể chỉ duy nhất số"
"Post information","Thông tin bài viết"
"Post Information","Thông tin bài viết"
"post was successfully deleted","Bài viết đã bị xoá"
"Post was successfully deleted","Bài viết đã bị xoá"
"Post was successfully saved","Bài viết đã được lưu"
"Post","Viết"
"Posted in","Viết trong"
"posted on","Viết vào ngày"
"Posted","Được viết"
"Poster","Người viết"
"Posts per Page","Bài đăng mỗi trang"
"Posts","Bài đăng"
"Post Title","Tiêu đề bài đăng"
"Price","Giá"
"Priority","Ưu tiên"
"Read More","Đọc thêm"
"ReCAPTCHA Secret Key","Từ khoá bí mật ReCAPTCHA"
"ReCAPTCHA Site Key","Từ khoá ReCAPTCHA Site "
"ReCAPTCHA","ReCAPTCHA"
"Recent Posts","Bài đăng gần đây"
"Related post","Bài đăng liên quan"
"Relative to current skin directory, e.g. images/rsslogo.jpg","Liên quan đến biểu tượng thư mục hiển thị, VD. images/rsslogo.jpg"
"Return to","Trở lại đến"
"Route to Blog","Đường đến Blogs"
"RSS Feed Image","Hình ảnh RSS Feed"
"RSS Feed","RSS Feed"
"RSS Posts to Show","Bài đăng RSS để hiển thị"
"Save And Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Save Category","Lưu danh mục"
"Save Comment","Lưu bình luận"
"Save Post","Lưu bài đăng"
"Send Emails to","Gửi Email đến"
"Short Content","Nội dung ngắn"
"Short","Ngắn"
"Show Bookmarks in Lists","Lưu đánh dấu theo danh sách"
"Show Bookmarks in Posts","Lưu đánh theo bài đăng"
"Show Breadcrumbs","Hiển thị theo mẩu"
"SKU","Đơn vị tính"
"Sort Order","Sắp xếp đơn đặt hàng"
"Status","Tình trạng"
"Store View","Hiển thị kho hàng"
"Submit Comment","Đề xuất bình luận"
"Summary Character Count","Tổng kết số ký tự"
"Tagged with %s""","Gắn với %s"""
"Tags to Display","Gắn để hiển thị"
"tags","Gắn"
"Tags","Gắn"
"The number of recent post to be displayed in the menu. 0 to disable.","Số thứ tự bài đăng gần đây để hiển thị trên Menu. 0 để tắt"
"The number of tags to display in tag cloud. 0 disables tag cloud","Số thứ tự bài đăng gắn đuôi để hiển thị trên dữ liệu đám mây. 0 để tắt"
"The number of posts displayed per page. Set 0 to disable pagination.","Số thứ tự bài đăng trên mỗi trang. Chọn 0 để tắt đánh số"
"The requested page could not be found","Trang yêu cầu không tìm thấy"
"Title","Trang yêu cầu không tìm thấy"
"Total of %d comment(s) were successfully approved","Tổng số %d bình luận đã được phê duyệt"
"Total of %d comment(s) were successfully unapproved","Tổng số %d bình luận không được phê duyệt"
"Total of %d record(s) were successfully updated","Tổng số %d bản ghi đã được cập nhật"
"Unable to find category to save","Không tìm thấy danh mục để lưu"
"Unable to find comment to save","Không tìm thấy bình luận để lưu"
"Unable to find post to save","Không tìm thấy bài đăng để lưu"
"Unapprove","Không phê duyệt"
"Unapproved","Không được phê duyệt"
"Updated at","Được cập nhật tại"
"Use Categories ID in Posts URLs","Sử dụng định danh danh mục trong bài viết URLs"
"Use Short Content Field","Sử dụng trường nội dung ngắn"
"Use comma as separator","Sử dụng dấu phẩy để chia"
"User","Người sử dụng"
"Valid values range from 0.0 to 1.0","Khoảng giá trị đúng từ 0.0 đến 1.0"
"View","Xem"
"XML","XML"
"Yes, all pages","Vâng, tất cả các trang"
"Yes, only blog page","Vâng, chỉ trang blogs"
"You must be logged in to comment.","Bạn cần đăng nhập để bình luận"
"You must be logged in to post a comment.","Bạn cần đăng nhập để đăng bình luận"
"Your comment has been submitted and is awaiting approval.","Bình luận của bạn đã được đề xuất và đang chờ phê duyệt"
"Your comment has been submitted.","Bình luận của bạn đã được đề xuất"
"Your Recaptcha solution was incorrect, please try again","Nhập ReCAPTCHA không đúng, vui lòng thử lại"
